Player,Pos,Age,Tm,G,MP,FG%,Dist.,...9, at 2P,at 0-3ft, at 3-10ft,at 10-16ft,at 16ft-3P, at 3P,...16,2P%,0-3ft%,3-10ft%,10-16ft%,16ft-3P%,3P%,...23,% at 2P AST'd,% at 3P AST'd,...26,% of Dunk FGA,Dunks,% of Corner 3PA,Corner 3P%,...31,Heaves Att.,Heaves,...34,...35
Tremont Waters,PG,24,TOT,3,50,0.286,22.7,NA,0.357,0,0.143,0.143,0.071,0.643,NA,0.4,NA,0.5,0.5,0,0.222,NA,0,0.5,NA,0,0,NA,0.222,0,NA,0,0,watertr01
Derrick White,SG,27,TOT,75,2199,0.421,15.4,NA,0.539,0.159,0.231,0.12,0.029,0.461,NA,0.515,0.614,0.503,0.479,0.217,0.312,NA,0.401,0.835,NA,0.009,7,NA,0.195,0.306,NA,1,0,whitede01
Justise Winslow,PF,25,TOT,48,774,0.428,10.7,NA,0.743,0.354,0.257,0.07,0.062,0.257,NA,0.497,0.681,0.379,0.222,0.25,0.227,NA,0.695,1,NA,0.023,5,NA,0.409,0.222,NA,2,0,winslju01
Moses Wright,PF,23,TOT,4,14,0.25,13.2,NA,0.75,0.25,0,0.5,0,0.25,NA,0.333,1,NA,0,NA,0,NA,1,NA,NA,0,0,NA,1,0,NA,0,0,wrighmo01
Thaddeus Young,PF,33,TOT,52,845,0.518,7.7,NA,0.824,0.382,0.393,0.026,0.022,0.176,NA,0.554,0.625,0.523,0.286,0.167,0.354,NA,0.524,1,NA,0.037,7,NA,0.604,0.483,NA,0,0,youngth01
Precious Achiuwa,C,22,TOR,73,1725,0.439,10.2,NA,0.741,0.348,0.274,0.085,0.035,0.259,NA,0.468,0.614,0.345,0.373,0.19,0.359,NA,0.598,0.964,NA,0.143,67,NA,0.429,0.313,NA,0,0,achiupr01
Steven Adams,C,28,MEM,76,1999,0.547,2.9,NA,0.997,0.693,0.26,0.042,0.003,0.003,NA,0.548,0.632,0.35,0.438,0,0,NA,0.49,NA,NA,0.143,48,NA,0,NA,NA,1,0,adamsst01
Bam Adebayo,C,24,MIA,56,1825,0.557,7,NA,0.992,0.395,0.309,0.2,0.088,0.008,NA,0.562,0.771,0.467,0.404,0.313,0,NA,0.608,NA,NA,0.181,119,NA,0,NA,NA,2,0,adebaba01
Santi Aldama,PF,21,MEM,32,360,0.402,12,NA,0.636,0.333,0.205,0.091,0.008,0.364,NA,0.56,0.682,0.444,0.417,0,0.125,NA,0.638,1,NA,0.076,10,NA,0.229,0.364,NA,0,0,aldamsa01
LaMarcus Aldridge,C,36,BRK,47,1050,0.55,12.3,NA,0.9,0.21,0.17,0.24,0.279,0.1,NA,0.578,0.729,0.513,0.509,0.563,0.304,NA,0.748,1,NA,0.039,18,NA,0.283,0.308,NA,0,0,aldrila01
Grayson Allen,SG,26,MIL,66,1805,0.448,19.2,NA,0.316,0.158,0.097,0.047,0.014,0.684,NA,0.533,0.678,0.4,0.37,0.375,0.409,NA,0.646,0.912,NA,0.023,10,NA,0.26,0.455,NA,0,0,allengr01
